,hebbian,hebbian,hebbian,anti_hebbian,anti_hebbian,anti_hebbian,random_walk,random_walk,random_walk
,10,20,100,10,20,100,10,20,100
Bit Package Size (B),,,,,,,,,
1,231.111,241.186,300.908,1265.72,747.323,463.297,232.245,275.683,346.003
2,237.446,251.053,308.767,960.288,682.584,467.284,235.578,278.944,356.292
4,261.06,281.076,331.606,645.155,544.205,450.661,237.047,287.72,357.049
8,306.64,311.276,358.45,408.809,447.738,445.295,249.91,310.601,380.111
16,375.685,377.068,419.377,280.129,369.927,452.29,288.981,349.235,429.585
32,509.156,490.973,534.11,274.786,359.457,514.754,384.205,434.552,535.584
64,747.13,735.39,808.897,495.353,548.322,739.22,568.577,681.266,821.411
128,1313.514,1216.344,1368.709,1228.958,1144.383,1352.277,1021.917,1224.226,1456.378
