L,N,K,Rule,Ratio,Success Rate
3,10,3,hebbian,0.933933933933934,0.116
3,10,3,hebbian,0.6923076923076923,0.116
3,10,3,hebbian,0.8893280632411067,0.116
3,10,3,hebbian,1.0584415584415585,0.116
3,10,3,hebbian,0.43256997455470736,0.116
3,10,3,hebbian,0.6558441558441559,0.116
3,10,3,hebbian,0.15570469798657718,0.116
3,10,3,hebbian,0.3575757575757576,0.116
3,10,3,hebbian,1.0,0.116
3,10,3,hebbian,0.9632829373650108,0.116
3,10,3,hebbian,0.2131782945736434,0.116
3,10,3,hebbian,0.8055555555555556,0.116
3,10,3,hebbian,0.32989690721649484,0.116
3,10,3,hebbian,2.1778846153846154,0.116
3,10,3,hebbian,1.2735426008968609,0.116
3,10,3,hebbian,1.1676300578034682,0.116
3,10,3,hebbian,0.14350282485875707,0.116
3,10,3,hebbian,0.5862068965517241,0.116
3,10,3,hebbian,0.1848184818481848,0.116
3,10,3,hebbian,0.18685567010309279,0.116
3,10,3,hebbian,0.2560646900269542,0.116
3,10,3,hebbian,0.2867132867132867,0.116
3,10,3,hebbian,0.3786610878661088,0.116
3,10,3,hebbian,0.9958847736625515,0.116
3,10,3,hebbian,1.3434343434343434,0.116
3,10,3,hebbian,0.40471092077087795,0.116
3,10,3,hebbian,0.29653679653679654,0.116
3,10,3,hebbian,0.7922077922077922,0.116
3,10,3,hebbian,0.21376281112737922,0.116
3,10,3,hebbian,0.23053892215568864,0.116
3,10,3,hebbian,0.193717277486911,0.116
3,10,3,hebbian,0.5130434782608696,0.116
3,10,3,hebbian,0.2465483234714004,0.116
3,10,3,hebbian,0.927797833935018,0.116
3,10,3,hebbian,0.4794238683127572,0.116
3,10,3,hebbian,0.20253164556962025,0.116
3,10,3,hebbian,0.22698412698412698,0.116
3,10,3,hebbian,0.4591329068941009,0.116
3,10,3,hebbian,0.7220447284345048,0.116
3,10,3,hebbian,0.19666048237476808,0.116
3,10,3,hebbian,0.570446735395189,0.116
3,10,3,hebbian,1.2446808510638299,0.116
3,10,3,hebbian,0.20485584218512898,0.116
3,10,3,hebbian,0.6561264822134387,0.116
3,10,3,hebbian,0.5514285714285714,0.116
3,10,3,hebbian,0.9509803921568627,0.116
3,10,3,hebbian,0.16195121951219513,0.116
3,10,3,hebbian,0.35901926444833626,0.116
3,10,3,hebbian,0.40551181102362205,0.116
3,10,3,hebbian,0.7920792079207921,0.116
3,10,3,hebbian,0.21231155778894473,0.116
3,10,3,hebbian,0.20096153846153847,0.116
