hebbian,anti_hebbian,random_walk
437,365,547
531,309,318
393,389,336
300,359,431
342,389,449
610,256,672
483,420,411
399,448,558
457,302,286
338,354,340
264,327,387
462,388,327
429,413,515
316,366,353
253,535,358
236,380,365
425,461,801
307,308,517
535,678,398
231,473,484
277,619,436
466,484,442
405,459,363
402,764,269
296,325,647
328,240,352
290,366,292
369,370,400
257,275,368
356,472,618
444,276,248
504,273,288
395,341,458
429,465,590
390,327,340
485,360,557
407,407,334
249,333,490
231,387,343
439,776,676
485,380,373
362,557,593
318,287,398
330,238,377
263,458,291
432,407,360
394,542,463
496,540,388
465,392,331
566,332,343
279,699,679
447,330,627
585,423,274
351,281,620
468,430,303
353,380,185
529,684,368
507,671,282
411,599,291
504,399,372
441,282,549
398,421,410
276,460,342
421,301,357
388,396,483
383,496,339
699,286,345
406,596,242
326,682,1088
401,304,361
241,463,380
455,517,562
792,730,342
313,502,484
370,655,405
216,565,223
590,403,403
353,502,599
413,317,278
516,409,411
391,420,340
627,834,482
335,359,375
383,364,463
359,421,381
295,237,479
338,315,298
1143,278,697
205,514,209
313,862,461
413,664,319
417,407,452
478,427,401
481,372,277
281,439,249
424,577,306
333,330,338
422,378,474
163,460,352
416,582,348
580,447,529
328,350,525
792,650,271
596,794,340
332,268,313
566,323,472
265,436,573
342,356,354
343,290,801
460,304,321
380,439,331
292,432,553
388,350,306
281,329,293
417,392,357
332,302,414
459,598,347
475,946,690
331,290,354
685,658,600
259,297,332
634,791,328
632,367,720
382,459,508
498,654,786
445,333,709
433,570,364
342,598,383
300,303,427
276,402,424
346,337,322
298,504,388
341,395,338
332,473,513
305,399,546
341,327,420
332,410,442
461,617,375
500,658,757
569,1227,379
455,336,420
575,649,450
233,445,356
538,224,487
640,616,486
607,514,365
266,396,269
435,318,543
430,465,288
568,616,802
329,476,358
510,359,285
322,525,351
308,455,902
326,329,521
400,660,302
271,268,576
286,398,658
577,600,287
460,513,479
646,353,315
360,934,248
512,257,623
422,534,464
504,287,544
384,538,379
413,448,279
538,265,392
326,448,429
250,342,724
410,319,396
681,399,495
373,393,274
298,377,429
452,545,354
335,355,498
615,485,363
420,584,246
706,401,539
374,303,278
321,435,292
355,472,447
482,518,315
662,464,271
363,608,660
390,397,311
522,303,727
415,577,467
582,309,328
468,291,509
488,432,402
395,439,655
385,284,201
305,316,696
513,395,285
533,412,286
401,633,365
410,537,441
462,555,243
593,367,226
587,522,347
278,763,349
581,420,381
239,523,345
268,784,507
367,302,403
441,406,372
501,450,374
887,302,420
493,584,429
281,367,573
411,336,359
297,422,419
392,430,589
433,520,185
504,430,281
373,221,228
292,326,439
261,441,384
280,384,332
384,391,367
231,421,756
763,330,237
382,307,318
411,360,232
352,442,599
355,392,342
444,342,467
414,648,691
230,639,810
300,423,413
308,247,302
288,456,478
417,346,616
314,1014,346
876,386,501
318,571,373
591,418,352
337,247,483
480,393,308
680,207,785
556,536,201
510,482,482
344,470,429
419,374,430
677,499,515
662,241,451
429,537,329
498,588,666
465,794,356
290,595,343
389,413,555
280,436,500
707,446,647
453,762,416
284,407,296
464,285,551
700,700,270
359,357,584
208,301,418
364,411,667
372,291,390
453,332,393
377,634,295
580,415,477
342,257,522
316,512,464
483,426,369
434,398,424
529,273,293
523,756,1108
326,359,442
259,352,438
549,355,370
308,346,469
379,671,473
351,655,351
504,342,389
291,310,369
539,504,511
452,338,311
563,264,771
416,470,689
276,358,292
713,443,305
514,330,509
270,367,403
521,264,361
460,507,291
647,739,350
422,569,477
412,638,548
485,673,481
367,768,434
423,436,486
384,492,402
360,267,521
487,249,516
503,367,380
292,336,507
707,361,1012
719,213,262
484,316,271
270,256,269
286,470,380
289,365,310
374,287,384
442,283,307
260,749,801
430,673,297
428,324,420
332,578,526
418,353,514
553,277,293
545,734,588
462,485,291
384,450,327
259,403,477
437,530,340
368,463,446
434,436,299
296,670,414
353,604,226
459,484,438
411,310,254
342,315,464
377,628,649
505,355,358
427,243,237
395,316,489
468,308,264
910,1139,416
466,624,488
441,286,545
346,254,492
478,372,428
443,395,426
305,304,500
246,311,355
291,349,322
808,687,583
376,215,521
360,397,349
643,492,489
371,535,397
383,435,503
405,458,301
299,495,483
237,716,649
380,1143,301
299,347,317
329,508,322
243,486,366
454,309,729
371,640,574
439,306,377
412,244,413
526,447,667
284,496,306
447,455,713
335,536,545
387,371,419
191,465,367
383,390,430
378,619,398
411,283,365
277,303,356
553,285,432
409,483,390
261,416,307
338,854,643
404,432,302
427,477,442
526,712,417
424,1042,729
263,395,464
245,218,847
436,399,418
301,510,233
319,344,465
236,361,325
463,438,295
333,340,301
314,681,247
509,470,300
414,502,359
536,324,633
265,368,431
446,439,509
390,304,404
533,508,717
455,407,447
691,448,502
488,240,315
381,400,756
212,306,554
420,342,546
438,329,379
370,694,515
432,384,518
316,494,535
449,557,576
616,500,353
284,422,678
220,470,448
262,836,388
394,370,495
318,325,300
1073,341,649
395,522,337
413,581,485
412,638,417
694,438,414
705,386,358
288,706,708
405,405,477
263,344,301
433,254,702
321,450,204
596,594,503
347,529,341
224,378,328
421,566,406
559,684,607
335,251,362
405,339,462
336,601,316
314,457,391
456,251,255
378,333,273
338,385,271
228,410,745
349,276,550
450,534,606
367,525,333
678,738,401
291,666,381
557,348,658
318,322,285
581,310,307
561,243,295
401,423,380
435,528,282
199,311,408
648,312,425
382,340,300
451,439,232
330,668,502
363,468,315
585,238,445
362,340,408
523,812,307
502,223,279
407,425,452
582,414,256
356,623,347
294,400,433
427,408,275
220,454,433
307,365,468
411,490,338
239,598,393
416,314,640
366,380,325
312,675,297
259,311,759
296,292,325
263,252,348
556,313,318
335,670,497
437,502,499
388,818,444
429,372,332
449,513,265
261,320,762
281,382,295
308,450,618
362,449,345
341,264,424
265,405,411
402,800,320
497,291,381
335,400,566
500,1101,361
413,594,401
582,179,600
417,406,869
395,442,358
679,351,400
357,420,529
657,439,620
368,614,625
330,487,354
516,521,330
367,410,242
335,382,339
854,422,757
336,421,595
446,596,258
271,451,350
496,344,597
394,246,342
250,295,443
476,484,360
365,364,808
406,461,810
516,362,536
511,326,228
396,300,285
261,265,345
369,350,977
445,676,584
328,354,520
366,348,422
522,956,545
193,394,619
355,302,578
539,428,377
411,398,707
431,405,488
489,648,578
273,569,301
340,368,264
443,569,463
467,486,502
638,362,275
283,702,498
221,481,509
613,650,568
263,427,324
385,279,516
406,381,387
633,370,656
496,624,632
317,513,208
362,328,758
424,823,599
359,529,563
412,500,293
504,425,581
420,363,678
281,307,292
430,432,678
513,342,333
293,442,418
779,271,562
324,250,365
579,380,435
335,381,324
500,273,292
579,750,520
353,454,503
328,542,450
368,392,329
279,425,449
348,682,266
430,455,241
315,438,525
636,573,558
403,359,687
372,409,420
293,413,347
435,442,490
225,257,546
372,541,280
404,603,441
279,336,279
333,302,303
375,383,253
684,399,335
355,291,384
399,549,414
523,477,349
435,341,162
518,456,381
634,427,240
464,570,300
341,559,342
221,229,797
283,387,635
430,776,411
423,456,379
456,441,680
347,526,514
610,324,298
343,509,266
322,315,459
370,541,284
483,420,211
333,331,384
294,500,233
299,365,284
401,370,291
461,309,343
631,378,237
563,687,375
287,535,450
370,576,424
376,318,565
404,359,286
617,557,372
347,603,675
375,400,392
393,507,370
213,199,438
813,320,378
340,437,457
429,375,292
402,496,503
419,239,784
542,398,345
559,469,847
458,300,532
288,365,433
343,381,444
442,411,277
201,353,253
333,291,535
400,448,366
686,313,624
329,497,435
522,893,388
507,459,242
425,401,498
388,326,383
341,687,672
384,396,379
481,318,426
414,559,614
787,376,485
436,313,493
413,310,626
527,361,352
462,487,385
344,381,376
392,643,346
466,440,372
737,342,391
284,430,406
696,330,536
338,516,288
304,297,459
419,296,245
427,678,469
669,352,636
361,774,469
287,385,418
450,396,292
273,431,342
434,327,343
273,599,278
651,599,418
539,323,446
510,576,628
504,566,428
588,339,365
387,365,617
612,558,587
417,263,463
236,278,257
446,449,484
225,278,264
188,527,444
473,517,410
712,531,380
514,384,526
249,417,677
457,340,345
378,457,602
507,278,269
475,822,219
549,600,411
434,353,486
232,455,703
337,499,253
251,446,234
446,300,353
494,496,530
273,302,359
506,575,592
418,359,191
391,347,315
476,510,346
460,350,222
480,455,455
403,906,388
303,261,444
694,587,392
491,498,311
410,305,587
459,375,269
261,451,296
458,376,434
716,333,459
405,365,720
694,369,315
410,341,545
315,284,326
448,521,306
509,305,517
301,556,328
403,315,416
637,282,378
313,352,455
390,438,301
582,362,340
333,491,783
406,599,786
420,306,437
609,395,376
506,469,291
497,301,285
291,324,437
295,393,227
275,299,557
238,427,570
542,449,341
366,819,341
732,439,361
389,278,264
340,556,324
255,492,397
608,427,566
735,740,422
749,505,215
670,761,385
319,442,327
251,297,445
264,403,226
429,653,532
197,767,341
344,351,923
376,373,413
324,327,461
356,531,282
371,477,353
371,677,310
263,339,269
268,466,480
763,510,495
265,360,286
291,329,309
416,233,281
434,478,488
333,646,422
449,525,414
346,871,792
396,476,249
358,417,637
401,293,280
268,453,757
358,259,449
564,520,358
550,429,455
284,207,578
318,656,226
430,387,408
385,354,468
476,411,497
674,302,645
255,261,438
531,745,613
779,472,291
239,545,437
433,364,260
534,415,515
776,538,503
518,414,246
502,529,274
436,400,463
380,393,395
215,405,869
428,340,445
409,718,411
232,581,231
485,419,593
475,716,380
219,411,356
335,369,475
447,221,448
445,407,535
276,348,317
555,393,474
352,620,397
244,390,236
403,275,614
411,634,438
336,319,360
338,382,583
340,576,483
494,236,463
386,324,630
371,629,574
502,394,410
485,470,391
729,336,347
870,383,521
483,244,584
374,291,560
268,610,477
468,408,429
486,329,327
