B=4,B=8,B=16
306,380,381
408,347,433
235,285,292
404,276,554
484,248,321
418,532,414
436,305,522
655,437,357
260,236,610
481,610,500
375,311,318
599,286,327
534,399,664
417,339,343
375,232,436
617,321,594
199,865,372
478,478,431
632,616,806
461,448,430
689,389,386
589,468,286
417,264,543
420,385,491
393,204,393
377,408,396
344,546,769
564,469,357
764,539,317
312,598,418
323,426,459
726,313,346
505,349,401
512,448,528
500,360,921
463,478,223
339,514,365
373,464,280
594,408,956
492,882,584
282,405,350
341,329,330
246,449,625
570,406,618
420,301,570
432,563,236
306,494,382
439,453,374
279,223,361
410,407,658
295,255,801
305,605,942
380,564,244
421,412,578
372,561,322
336,306,255
447,325,544
448,415,622
313,536,332
490,685,401
396,381,549
501,350,410
338,477,431
366,267,317
387,837,346
345,382,472
480,264,348
354,608,464
519,480,384
279,322,487
445,350,393
815,365,271
385,472,349
315,540,444
346,304,654
996,276,271
495,239,592
496,602,249
309,815,736
548,265,399
310,329,723
203,336,409
251,412,373
598,1072,830
276,371,329
364,384,249
752,180,526
458,400,377
667,426,246
279,491,553
403,334,526
441,253,706
415,262,609
401,462,885
364,398,583
459,326,310
846,697,342
1160,361,390
505,510,721
423,227,272
456,467,683
474,325,755
872,450,699
393,253,364
387,510,334
279,322,346
450,240,426
366,466,466
384,321,388
438,599,608
777,343,337
310,392,673
279,427,439
506,310,461
390,600,767
379,342,482
297,380,516
387,318,562
682,547,293
246,314,413
311,692,625
703,528,315
243,383,377
363,307,384
304,350,785
349,389,478
476,354,729
603,431,244
337,378,813
307,231,326
376,554,241
284,640,344
452,730,447
442,393,559
443,628,498
414,416,346
295,331,488
348,275,358
552,519,460
427,351,361
408,390,253
259,268,304
317,328,434
379,302,374
369,302,648
835,390,316
588,246,453
370,839,361
548,410,392
521,528,653
311,573,620
327,657,358
326,651,418
600,255,1051
695,480,800
561,400,793
355,290,785
410,344,384
389,544,549
436,557,267
401,588,347
974,289,542
493,351,314
526,442,475
318,538,295
445,550,226
772,361,566
