L,N,K,Ratio,Success Rate
3,100,3,0.3423499577345731,0.0
3,100,3,0.5782208588957055,0.0
3,100,3,0.14841156946420103,0.0
3,100,3,0.08353569694026226,0.0
3,100,3,0.0749649228302265,0.0
3,100,3,0.05699976150727403,0.0
3,100,3,0.06935519610015511,0.0
3,100,3,0.07246722288438617,0.0
3,100,3,0.059085841694537344,0.0
3,100,3,0.09537299338999056,0.0
3,100,3,0.05864884929472903,0.0
3,100,3,0.021820216337187618,0.0
3,100,3,0.03727286845783507,0.0
3,100,3,0.102250296091591,0.0
3,100,3,0.03192191003825353,0.0
3,100,3,0.039701636188642926,0.0
3,100,3,0.03708029197080292,0.0
3,100,3,0.14061872237846526,0.0
3,100,3,0.052129688493324854,0.0
3,100,3,0.10973858086756678,0.0
3,100,3,0.03676166873192895,0.0
3,100,3,0.036896602012541926,0.0
3,100,3,0.15983791085096805,0.0
3,100,3,0.10793036750483559,0.0
3,100,3,0.06973415132924335,0.0
3,100,3,0.06601745288984444,0.0
3,100,3,0.2634730538922156,0.0
3,100,3,0.04398684050201048,0.0
3,100,3,0.38671586715867157,0.0
3,100,3,0.0922279792746114,0.0
3,100,3,0.04330708661417323,0.0
3,100,3,0.02541426976903924,0.0
3,100,3,0.0735953574254814,0.0
3,100,3,0.063503263362145,0.0
3,100,3,0.0420214993717716,0.0
3,100,3,0.14109347442680775,0.0
3,100,3,0.07060063224446786,0.0
3,100,3,0.07117542823390431,0.0
3,100,3,0.08444902162718847,0.0
3,100,3,0.03793181305034997,0.0
3,100,3,0.019127316198445904,0.0
3,100,3,0.045344129554655874,0.0
3,100,3,0.04657016991818754,0.0
3,100,3,0.02903304178814383,0.0
3,100,3,0.08710147947489061,0.0
3,100,3,0.18902439024390244,0.0
3,100,3,0.060814315352697094,0.0
3,100,3,0.7731397459165155,0.0
3,100,3,0.08980355472404115,0.0
3,100,3,0.06288032454361055,0.0
3,100,3,0.04011670313639679,0.0
3,100,3,0.06923306475678902,0.0
3,100,3,0.024276784416339584,0.0
3,100,3,0.03721091984002782,0.0
3,100,3,0.0644496762801648,0.0
3,100,3,0.19293756397134085,0.0
3,100,3,0.025696675058598836,0.0
3,100,3,0.04011998500187477,0.0
3,100,3,0.016160881313656204,0.0
3,100,3,0.036533727227966516,0.0
3,100,3,0.02140780547969342,0.0
3,100,3,0.10648148148148148,0.0
3,100,3,0.07724684327803912,0.0
3,100,3,0.13308784850078906,0.0
3,100,3,0.025509851365364673,0.0
3,100,3,0.3927272727272727,0.0
3,100,3,0.05737704918032787,0.0
3,100,3,0.014298978644382544,0.0
3,100,3,0.024956883433093234,0.0
3,100,3,0.02917426413128419,0.0
3,100,3,0.14013266998341625,0.0
3,100,3,0.1426648721399731,0.0
3,100,3,0.08990186767964546,0.0
3,100,3,0.12101474117243743,0.0
3,100,3,0.060849798915894385,0.0
3,100,3,0.015603864734299517,0.0
3,100,3,0.04645659484369162,0.0
3,100,3,0.0332045226849864,0.0
3,100,3,0.12072892938496584,0.0
3,100,3,0.030327214684756583,0.0
3,100,3,0.047058823529411764,0.0
3,100,3,0.04515640766902119,0.0
3,100,3,0.05800883179446006,0.0
3,100,3,0.1275235531628533,0.0
3,100,3,0.10427631578947369,0.0
3,100,3,0.019813848540403328,0.0
3,100,3,0.023322227510709188,0.0
3,100,3,0.07228449942017781,0.0
3,100,3,0.04313118074585964,0.0
3,100,3,0.025102880658436213,0.0
3,100,3,0.0917312661498708,0.0
3,100,3,0.2077175697865353,0.0
3,100,3,0.09725599166377215,0.0
3,100,3,0.06360485268630849,0.0
3,100,3,0.0864026585433398,0.0
